7zip 24.09-3
lib32-spirv-tools 1:1.4.313.0-1
lib32-sqlite 3.50.2-1
lib32-systemd 257.7-1
lib32-tdb 1.4.13-1
lib32-util-linux 2.41.1-1
lib32-vkd3d 1.16-1
lib32-vulkan-icd-loader 1.4.313.0-1
lib32-vulkan-mesa-layers 1:25.1.5-1
lib32-vulkan-virtio 1:25.1.5-1
lib32-wayland 1.23.1-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.1-1
lib32-zlib 1.3.1-2
lib32-zstd 1.5.7-2
libabw 0.1.3-5
libaccounts-glib 1.27-3
libaccounts-qt 1.17-1
libadwaita 1:1.7.5-1
libaec 1.1.4-2
libaemu 0.1.2-5
libaio 0.3.113-3
libakonadi 25.04.3-1
libao 1.2.2-6
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.8.1-1
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libatomic_ops 7.8.2-1
libavc1394 0.5.4-6
libavif 1.3.0-1
libavtp 0.2.0-3
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libb64 1.2.1-5
libblake3 1.8.2-1
libblockdev 3.3.1-1
libblockdev-btrfs 3.3.1-1
libblockdev-crypto 3.3.1-1
